Türü;Net Metrekare;Brüt Metrekare;Oda Sayısı;Binanın Yaşı;Binanın Kat Sayısı;Isıtma Tipi;Kullanım Durumu;Site İçerisinde;Banyo Sayısı;Fiyat;İl;İlçe;Mahalle
Konut;86 m²;152 m²;2+1;1;13;Yerden Isıtma;Boş;Hayır;2;17.000.000;İstanbul;Kağıthane;Ortabayır Mahallesi
Konut;60 m²;83 m²;1+1;4;27;Merkezi (Pay Ölçer);Kiracı Oturuyor;Hayır;1;2.180.000;İstanbul;Esenyurt;Akevler Mahallesi
Konut;240 m²;270 m²;4+2;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;7.900.000;İstanbul;Büyükçekmece;Fatih Mahallesi
Konut;183 m²;210 m²;4+1;0 (Yeni);3;Kombi Doğalgaz;Boş;Evet;2;25.000.000;İstanbul;Üsküdar;Küplüce Mahallesi
Konut;165 m²;202 m²;4+1;0 (Yeni);14;Merkezi (Pay Ölçer);Boş;Hayır;2;36.500.000;İstanbul;Kadıköy;Bostancı Mahallesi
Konut;100 m²;120 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;5.300.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;55 m²;70 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;5.500.000;İstanbul;Bahçelievler;Bahçelievler Mahallesi
Konut;130 m²;150 m²;3+1;5-10;4;Kombi Doğalgaz;Boş;Evet;2;4.750.000;İstanbul;Silivri;Selimpaşa Mahallesi
Konut;75 m²;100 m²;3+1;21 Ve Üzeri;9;Merkezi Doğalgaz;Kiracı Oturuyor;Hayır;1;6.500.000;İstanbul;Kadıköy;Sahrayı Cedit Mahallesi
Konut;78 m²;90 m²;2+1;11-15;4;Kombi Doğalgaz;Boş;Hayır;1;2.600.000;İstanbul;Bahçelievler;Cumhuriyet Mahallesi
Konut;140 m²;160 m²;3+1;11-15;7;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;3;4.900.000;İstanbul;Maltepe;Fındıklı Mahallesi
Konut;140 m²;160 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;5.400.000;İstanbul;Avcılar;Denizköşkler Mahallesi
Konut;66 m²;79 m²;2+1;4;23;Merkezi (Pay Ölçer);Boş;Hayır;2;7.900.000;İstanbul;Kadıköy;Dumlupınar Mahallesi
Konut;110 m²;130 m²;3+1;21 Ve Üzeri;6;Doğalgaz Sobalı;Mülk Sahibi Oturuyor;Hayır;1;1.400.000;İstanbul;Küçükçekmece;Söğütlü Çeşme Mahallesi
Konut;76 m²;78 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;2.650.000;İstanbul;Fatih;Sümbül Efendi Mahallesi
Konut;85 m²;100 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;1.730.000;İstanbul;Bağcılar;Demirkapı Mahallesi
Konut;95 m²;100 m²;3+1;21 Ve Üzeri;6;Klimalı;Kiracı Oturuyor;Hayır;1;3.000.000;İstanbul;Fatih;Şehremini Mahallesi
Konut;100 m²;110 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;4.400.000;İstanbul;Sultangazi;Cebeci Mahallesi
Konut;47 m²;65 m²;1+1;5-10;11;Merkezi (Pay Ölçer);Boş;Hayır;1;10.950.000;İstanbul;Kadıköy;Erenköy Mahallesi
Konut;75 m²;85 m²;2+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.550.000;İstanbul;Bahçelievler;Siyavuşpaşa Mahallesi
Konut;80 m²;85 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;4.500.000;İstanbul;Bahçelievler;Siyavuşpaşa Mahallesi
Konut;75 m²;85 m²;2+1;5-10;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;2.370.000;İstanbul;Küçükçekmece;Halkalı Merkez Mahallesi
Konut;85 m²;95 m²;2+1;5-10;3;Kombi Doğalgaz;Boş;Hayır;2;2.925.000;İstanbul;Küçükçekmece;İnönü Mahallesi
Konut;40 m²;50 m²;1+1;5-10;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.500.000;İstanbul;Ataşehir;Esatpaşa Mahallesi
Konut;140 m²;160 m²;3+1;11-15;10;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;2;6.950.000;İstanbul;Çekmeköy;Cumhuriyet Mahallesi
Konut;60 m²;70 m²;1.5+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;3.250.000;İstanbul;Çekmeköy;Merkez Mahallesi
Konut;65 m²;75 m²;1+1;4;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.650.000;İstanbul;Çekmeköy;Merkez Mahallesi
Konut;125 m²;135 m²;3+1;3;12;Kombi Doğalgaz;Boş;Hayır;1;1.680.000;İstanbul;Esenyurt;Talatpaşa Mahallesi
Konut;50 m²;60 m²;1+1;21 Ve Üzeri;3;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;1.600.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;95 m²;100 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.450.000;İstanbul;Sultangazi;50. Yıl Mahallesi
Konut;100 m²;110 m²;2+1;3;5;Kombi Doğalgaz;Boş;Hayır;2;2.285.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;80 m²;85 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.750.000;İstanbul;Güngören;Akıncılar Mahallesi
Konut;80 m²;85 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.630.000;İstanbul;Bahçelievler;Hürriyet Mahallesi
Konut;100 m²;110 m²;2+1;5-10;29;Kombi Doğalgaz;Boş;Hayır;1;2.250.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
